id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
hambleton-sarah,"Hambleton, Sarah","hambleton, sarah",Agriculture and Agri-Food Canada,CA,North America,Evolution,Plant Pathology,Evolution; Genomics; Rust Fungi,http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/hambleton-sarah-phd/?id=1181939949305,,Intermediate,faculty,,wrifo-workbook; airtable
hammer-edith,"Hammer, Edith","hammer, edith",Lund University,SE,Europe,Ecology,,SoilChips; microfluidics; Mycorrhizae; Soil Ecology; microplastic; biochar,https://www.biology.lu.se/edith-hammer,,Junior,faculty,,wrifo-workbook; airtable
hannula-emilia,"Hannula, Emilia","hannula, emilia",Netherlands Institute of Ecology (NIOO-KNAW),NL,Europe,Ecology,Evolution,AMF; plant-fungal interactions,https://nioo.knaw.nl/nl/employees/emilia-hannula,,Postdoc,postdoc,,wrifo-workbook
harris-linda,"Harris, Linda","harris, linda",Agriculture and Agri-Food Canada,CA,North America,Genetics/Genomics,Plant Pathology,Plant Pathologist; fungal genomics; fungal cereal diseases,http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/harris-linda-phd/?id=1181940192397,,Senior,faculty,,wrifo-workbook; airtable
harrison-maria,"Harrison, Maria","harrison, maria",Boyce-Thompson Institute,US,North America,Genetics/Genomics,Cell biology,Plant-Microbe interactions; Arbuscular mycorrhizal fungi,http://bti.cornell.edu/staff/dr-maria-harrison/,,Senior,faculty,,wrifo-workbook; airtable
hart-miranda,"Hart, Miranda","hart, miranda","University of British Columbia, Okanagan",CA,North America,Ecology,Evolution,Soil conservation; mycorrhizal ecology,http://www.mirandahart.ca/,,Junior,faculty,,wrifo-workbook; airtable
hatmaker-e-anne,"Hatmaker, E. Anne","hatmaker, e. anne",USDA-ARS,US,North America,Genetics/Genomics,Evolution,Population genomics; evolution of virulence,,,,postdoc,,wrifo-workbook
hawkes-christine,"Hawkes, Christine","hawkes, christine",NC State Univ,US,North America,Ecology,Genetics/Genomics,plant-fungal interactions; phytobiome; endophytes; mycorrhizas; soil fungi,https://sites.cns.utexas.edu/hawkeslab/,,Intermediate,faculty,,wrifo-workbook; airtable
hayden-helen,"Hayden, Helen","hayden, helen","Agriculture Victoria, Victoria State Gov",AU,Australia/NZ,Ecology,Plant Pathology,Microbial Ecology; Rhizoctonia; Plant-Soil-Microbe interactions; omics,http://agriculture.vic.gov.au/,,Intermediate,faculty,,wrifo-workbook; airtable
hayden-katherine,"Hayden, Katherine","hayden, katherine",Royal Botanic Garden Edinburgh,GB,Europe,Ecology,Evolution,Ecology; Evolution; Epidemiology; Forest pathology; Oomycetes; Rust fungi,https://www.researchgate.net/profile/Katherine_Hayden,,Junior,faculty,,wrifo-workbook; airtable
